address,group,name,fields_address,fields_count,fields
0x1801898A0,default,2019gov,0x180189868,1,support:bool
0x18016A9B0,default,2020AlphaProductName,0x18016A968,1,value:string
0x180132270,default,2020UnBoxVideo,0x180132258,1,support:bool
0x180128C40,default,AboutdlgShowAuthorize,0x180128C10,1,support:bool
0x180142540,default,AboutdlgShowAuthorizeV7,0x180142510,1,support:bool
0x1801AF8F0,default,AboutdlgTechSupportTryUrl,0x1801AF8C0,1,support:bool
0x18015A1B8,default,AcceleratingP2PTransfers,0x18015A1A0,1,support:bool
0x180192480,default,AccessibleOperationOemConfig,0x180192448,1,support:bool
0x180181B20,default,AccessibleOperationOnlineConfig,0x180181AD0,1,support:bool
0x1801CD260,default,AccessInLowILLocalCfg,0x1801CD228,1,support:bool
0x180121F10,default,AccountAgreementPrivacyProtectionDefaultProInfo,0x180121EC0,1,support:bool
0x18017BB80,default,AccountAgreementSettingsbeginGroupWps365,0x18017BAC0,1,support:bool
0x180142DC0,default,AccountCompanyAccount,0x180142D78,1,support:bool
0x180187710,default,AccountCompanyLicense,0x1801876D8,1,support:bool
0x180151300,default,AccountCustomDomainCfgUrl,0x180151288,1,value:string
0x1801AD170,default,AccountDataLoadFromConfigCenter,0x1801AD158,1,support:bool
0x1801707B8,default,AccountDomainService,0x1801707A0,1,support:bool
0x1801AF630,default,AccountHealthyCheckUrl,0x1801AF5B8,1,value:string
0x18017E968,default,AccountLoginPage,0x18017E820,7,LoginPageApplyBtn:string;LoginPageApplyBtnText:string;LoginPageApplyBtnUrl:string;LoginPageApplyContent:string;LoginPageContent:string;LoginPageNotice:string;LoginPageNoticeUrl:string
0x180180F40,default,AccountManualRepairWnd,0x180180F10,1,support:bool
0x18017DDA0,default,AccountMenu,0x18017DD88,1,filter:bool
0x180165270,default,AccountPanelAdaptiveLayout,0x180165240,1,support:bool
0x1801B3F30,default,AccountPanelSizeSubtractPayment,0x1801B3EE8,1,support:bool
0x180187698,default,AccountRegionDomainCfgUrl,0x180187680,1,value:string
0x18013EDA0,default,AccountUrl,0x18013ED20,2,credit:string;url:string
0x1801CE7B0,default,AccountUrlFromConfig,0x1801CE780,1,support:bool
0x1801B13A0,default,AccountWindowIconProResource,0x1801B1350,1,support:bool
0x1801BD880,default,AccountWPS365ForceLogin,0x1801BD830,1,support:bool
0x1801C98A0,default,ActivateCodeEnable,0x1801C9868,1,support:bool
0x1801C3330,default,ActiveNetworkStatusMonitor,0x1801C32E8,1,support:bool
0x1801CA2C8,default,ActivePluginDisplayLangID,0x1801CA2B0,1,support:bool
0x1801A0938,default,AddAllUserProgidForCurUser,0x1801A0920,1,support:bool
0x1801562A0,default,AddCompanyFeature,0x1801561D8,1,support:bool
0x1801862A0,default,addDefLoaclFavourite,0x180186220,1,support:bool
0x180160AF0,default,AddinForceRender,0x180160AA8,1,support:bool
0x180145040,default,AddOriginHeader,0x180145008,1,support:bool
0x18019FF30,default,Address,0x18019FF00,1,value:string
0x18015B830,default,AddSecdocPermissions,0x18015B7C8,1,value:string
0x180156FF0,default,AddTopDeptPermission,0x180156FB8,1,support:bool
0x180179900,default,AdjustDevmodeOrientationDriverNames,0x1801798B0,1,value:string
0x180184E20,default,AdjustInternetUrl,0x180184DF0,1,support:bool
0x18013C300,default,AdjustPdfCropPrintLayout,0x18013C2D0,1,support:bool
0x18015B290,default,AdvancedAssociation,0x18015B278,1,support:bool
0x18013D570,default,AffiliateDataReportUrl,0x18013D510,1,url:string
0x180138A00,default,AfterService,0x1801389B8,1,value:int
0x18016AA90,default,AIBeautyLogo,0x18016AA58,1,support:bool
0x180179C90,default,AIChartInterpretation,0x180179C58,1,support:bool
0x18013BED8,default,AICheck,0x18013BEC0,1,support:bool
0x1801C8098,default,AICommonEntrySettings,0x1801C8010,3,AIPrivacyPolicyUrl:string;AISupplementaryTermsUrl:string;WPSAIMail:string
0x180179570,default,AIConfig,0x180179460,6,AIModelDownloadCDN:string;AirPageHome:string;AlSupplementaryTerms:string;CreditManageURL:string;needExtcmd:bool;version:string
0x18014B338,default,aiCreatePanelEnable,0x18014B320,1,support:bool
0x1801950E0,default,AIFormulaSetting,0x1801950A8,1,filter:bool
0x1801686A0,default,AIGCFloatPaneSpecial,0x180168670,1,support:bool
0x1801C5630,default,AiIntranetEncry,0x1801C5600,1,support:bool
0x18012ABE0,default,AiOcr2Pdf,0x18012AB60,3,InlineConvertHostV5:string;support:bool;version:string
0x18014C4D0,default,AIPhotolongchart,0x18014C4B8,1,filter:bool
0x1801A77E8,default,AIPictureEdit,0x1801A77D0,1,filter:bool
0x1801396D0,default,AipptCreatePanel,0x180139688,1,support:bool
0x18013F030,default,AipptI18nIcon,0x18013F018,1,support:bool
0x18015C7F8,default,AIProductCertify,0x18015C7C8,1,value:string
0x1801643E0,default,AirDrop,0x1801643A8,1,support:bool
0x1801759D0,default,AiSelectContentFuncAreaAdaptive,0x1801759A0,1,support:bool
0x1801BF6D0,default,AISelectContentOnlyOem,0x1801BF6B8,1,filter:bool
0x180162980,default,AISelectContentSeparatorOnlyOem,0x180162938,1,filter:bool
0x18015C170,default,AIServer,0x18015C140,1,value:string
0x180185730,default,AISettingFeedbackUrl,0x1801856E8,1,support:bool
0x1801A40F0,default,AIShortcutSequenceEdit,0x1801A4090,2,resize:bool;toolTip:bool
0x18016C650,default,AISmartTag,0x18016C620,1,support:bool
0x18013A1E8,default,AISubGenerateFormula,0x18013A1D0,1,filter:bool
0x180169560,default,AITextGenerateText,0x1801694F0,1,customIcon:bool
0x1801392E0,default,AIWordDefinition,0x180139278,1,filter:bool
0x18017F380,default,AIWordDefinitionFloatBarExplain,0x18017F330,1,filter:bool
0x180198690,default,AIWordDefinitionFloatBarSummarize,0x180198650,1,filter:bool
0x1801B4810,default,AIWordDefinitionFloatBarTranslate,0x1801B4790,1,filter:bool
0x1801A9490,default,AiWppResInterionalDir,0x1801A9478,1,support:bool
0x18017C620,default,AIWriteFormula,0x18017C5F0,1,support:bool
0x1801B5C28,default,AIWriteFormulaIgnoreComb,0x1801B5C10,1,support:bool
0x180131918,default,AlignToPageBottom,0x180131900,1,support:bool
0x180171DD0,default,AllLaunchFailHelpLink,0x180171CB0,1,url:string
0x1801D0210,default,allowLoginCompanyId,0x1801D01B0,1,id:string
0x180144C60,default,AlternateFont,0x180144C28,1,font:string
0x1801B3130,default,AlwaysShowLangSwitchEntry,0x1801B30F8,1,support:bool
0x1801BA710,default,AlwaysShowStartupPopWindow,0x1801BA6E0,1,support:bool
0x1801A6C90,default,AmazonServer,0x1801A6C78,1,url:string
0x18012A9F0,default,AndroidClickLogoExportDmp,0x18012A9A8,1,support:bool
0x18013C600,default,AppCenterAddProperty,0x18013C5C8,1,support:bool
0x18014A4C0,default,AppCenterCompressPictures,0x18014A4A8,1,support:bool
0x1801C3A30,default,AppCenterExportImageRunner,0x1801C39F8,1,support:bool
0x180177D00,default,AppCenterImgLossCompressPrivilege,0x180177C98,1,support:bool
0x180169050,default,AppcenterOcr2Pdf,0x180168FE8,1,support:bool
0x180185DB8,default,AppCenterPdfDeleteEmptyPagesModifySecDoc,0x180185DA0,1,support:bool
0x18015EB60,default,AppCenterPdfDeletePagesModifySecDoc,0x18015EB18,1,support:bool
0x180176CA0,default,AppCenterPdfReplacePagesModifySecDoc,0x180176C68,1,support:bool
0x18018D2F0,default,AppCenterSecondSrc,0x18018D290,2,secondSrc:string;support:bool
0x1801C09A0,default,AppCenterSortedByApplist,0x1801C0950,1,support:bool
0x180130130,default,AppCenterSplitMergePrivilege,0x180130100,1,support:bool
0x1801431D0,default,AppCenterUpdateByApplist,0x180143168,1,support:bool
0x180132700,default,AppCorpId,0x1801326D0,1,value:string
0x1801C7278,default,AppDataPathForPDF,0x1801C7260,1,support:bool
0x1801B1700,default,AppdataRoamingConfigPath,0x1801B16D0,1,support:bool
